pid,clicked_pid,similar_papers_avail_at_time
038df8f5f00817e29bdcb8822c905fc4bb7718e9,b0ea2e7be6334577b8522ea4f7463fb7093a89bc,"6afcc4661ca3b46165231b07a5f8c8fedf82da8b,0cae8aed94a8647d6a6bbf7b6763024f9a15ee9d,ac1b67c2ca2417a134578f30362c775970dd1e4e,f5919e7347bad989759845f5a7b0f5fd0efb31e7,b0ea2e7be6334577b8522ea4f7463fb7093a89bc,43c413597742434ba5f9dc23aa8359c40a517d56,742b68daf2c7dc26442a03e17a41a787d4dd4fbe,8d2429c4e30df5fce327066c6153be85677de1c5,5f155ba556c8c0e22ead585693fbb1b61ccff50a,78404dae63b6939d9b858211aa0704633188b7cf"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,ece67b13d983600315371879116a1d48d6509feb,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
e7ed7efd5e95744cdc1bf3141a6e3d87ec8f47dc,fbd2beee7b46616cf0c04b57875fc4f500b62b98,"96cc264973798116d94abb55dc7ad70776e6f868,6f7bd25bfc63535444fdb06b541444aec52688a8,fbd2beee7b46616cf0c04b57875fc4f500b62b98,62bc5c736cda3be79d158174c893c13701549dcf,e7b1eb43fb90e261ca5077069a34f3a64f630eb4,4561c14b0f0cc4790aa7436ee4a39793c65a7951,6248eb26a96411ac6618bce940f05b3b1011cbc7,63ec6c12f23263afc0e6c5ec2f2e714a888ed012,17547e3f89ca0551d1fed40e96313670e8ff47ad,7afcbd98074cfae85d13393019bf38df28508c56"
12f87da74f91c7bfac67b6e83213fefe2c08bb67,cab2e593bffbd8e940d12770d6eeab51c5cf5c47,"cab2e593bffbd8e940d12770d6eeab51c5cf5c47,3fef8d3d449f71d096f0c65e4e8a208508e20086,d5e4c09d774e374780b5acff2213dbb0756bd29b,025978692d32581b15ab5c0748d682c9e6cceb09,575a33ba77335212e551a25f82c1be8a2b8c548c,4fbfe4134d74a0c9629b4dcce4ff6f5a78739204,378b7812faf697ee46cba878eab9c45f45217a48,2a9e564d6ed5c689fd5afeb14ed4de76b6da2246,2f381011fe1a372c2987a335527250ff2f377ff6,4d29d339d90b4f9a3b41f8ca0216c79af0559c2d"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,8b7bd175c6a7bf320036e5f994aa1787c127c312,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,8c29c502731812dd56f28cb4eb102ec8f9ec38be,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
2c1a34a1cdb565b2a8d31cc623db619f48e7d333,0fba42da6fc228d29519627513ca5353bf12209b,"7160953bc6f5177dba390f594584002652643c2c,ea8f7f04bbde043ce53deb17cab45a34027c2261,b753469dab0b58d23c01999317cdb537358af17d,0fba42da6fc228d29519627513ca5353bf12209b,2170a0a1030079e1af958ab492e793a1fe5ce6ac,4f310091227450881028cf14fd79a74170dc6860,b525dc660a88224d97f4ee0a9b469bd4c71fdff6,67b70f6bd528f0468e610ca05d5aa62fdd3a2706,ec821df87e9b94f65ff0b0f70533054c8af69125,f1140aace7d9c6722f8961c670b23c9b845f0851"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,8c29c502731812dd56f28cb4eb102ec8f9ec38be,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
c80e3d3f7f51d23decda5d9adc1ad32f49339963,e8099dbdc1a67391694aa67c9bb997f37dab023b,"aa885d6296da33da8336a37a841f67ea0dca86ee,2d1423fb1f731309abbb1c0702adeb7b6e6077e7,16f62c7d42dd572c213c789632cfdc7b57fb4ca2,66e69a346e3912cda5d4b07e5b6cc60d85211352,c60cd6264e351635c464923c844c6e14913fb112,b789f4e1fb28ea6496a536cea7618160da61cbfb,34621bc0b30f944c58cd63830e0f74df9ffd7900,7ff26dad3e5a3a4112e1ce1f291b09b89c91476d,3e8b81d96314f106aba6f78b88bcb4fbcb4a58e4,e8099dbdc1a67391694aa67c9bb997f37dab023b"
4881e049ccd6a5e73532f006ec2d80fae1310cd5,002f758b9e6d4b12bdaea34d526c2c0141556566,"002f758b9e6d4b12bdaea34d526c2c0141556566,95628a0b0e962397b4426a22293508238225ae88,070285143e507e2259712f8e5555a08a71941139,d519aaf268115943902e4e7e08f38bcd12a6143f,60f25da41dd3bffb30cdf083bdbcf5b46ddaf518,0481213c72ec693f0ed687374eab42805bb9255a,09f07455ff861d4fc7b48365a88de11b0477b7b8,10f43d5c97bf248cf3e9f2be64c49d4def5d2842,04d787f0aca83ec65d10d2febdda4942d2d05d9e,d7da798fe0789755a9d3e3d605e851c0fc54e0a1"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,8c29c502731812dd56f28cb4eb102ec8f9ec38be,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
88c5f3424ecd8a7a889322a7cb50f1b369cb32c4,3c1ab62455908f4489dae0fa2a6c89574203fc3e,"3c1ab62455908f4489dae0fa2a6c89574203fc3e,dc6c4da6f2ef03585bffe94082720d9acb533383,3ed5eabbe636aa64a144ac44c2f55ef2b08ae734,93eafab73df7fcfbd5ba9d91fa339a42aa3cab48,b88c59af3ad8fe3b327380a6689be43132cf3667,a161005c628ea169733b370eb5241249efea35d1,707542924e1279186fd9e90f4b64af2300b980aa,f8bc877ac07784a2ae4cfc2bb29b55c1f117155d,8505428429faceccf23c3de302678bbf28f9eb48,c21bf32069cedf802a4afa101b26361c12b26697"
8ddbf7952f6d8b915a7deb80b163ab0bd08bbb34,1c4eb7d7394f1aee528202c2e84a35363698a3b2,"99d78cb9fb400fe345b743b1bc7b73413cdc1389,cf97ea832dcaad8012cb62956eaa9e39bd27a385,c3674e48258904f001a460a16fb0a83794caab17,a4b94592ef2bc31d57d8d4e4062fc35818678eda,1c4eb7d7394f1aee528202c2e84a35363698a3b2,1f29c86e75d6e131f3d05ccb1a145901821a99c1,a34e47295d35a1a5b32dcf09efd8d3ce2dd5f3de,22d011c97ab003411900883572fdb271292d306a,73a86eda9b3e66d9961d19a652bbb2213737b861,fe922cef311123d8f3e602752ff8b26f845de85b"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,8c29c502731812dd56f28cb4eb102ec8f9ec38be,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,ece67b13d983600315371879116a1d48d6509feb,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,e3f193a699ce02f529a0f493cc65f7ef9023c9be,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,ece67b13d983600315371879116a1d48d6509feb,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,8b7bd175c6a7bf320036e5f994aa1787c127c312,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
e662b5cea2a0b4c62138f6ef13906385bb487552,428e6801d3fbccc210bf8af168eeeba9efdcbb08,"690a1cd87727d4e5ebb69b3c7c371a3df37c8db3,9df109aa8c1ee39a571272a3d34ca98c1416480d,ec9e95bd7e6f556399e6a38fdf02391808d7f897,fe6a3d6f6230fa1d986d50cb301b709f097a60f7,aa5ccace752fc999eb960602986d04df50270686,38185638b7f9c2cd7e6302a4a760f7c53a1c51da,3fe680883b7f122bd75208f8d38898d0e04f3c09,b67ca6eccea2bab8b4339656cb3833c8f8746044,428e6801d3fbccc210bf8af168eeeba9efdcbb08,64e2f164379f98c85d8cb749e4cf2c8520e7b3a5"
bb992f7fc702c9a68e89461d5e6fb92f30f2c135,643308b932641e8ce86975f58f5d4283f144551d,"bd95fad605bc5e22f52484e521f1ec0c01dd6ab7,643308b932641e8ce86975f58f5d4283f144551d,32822e4b650e1af60463387254fa2e294689efd0,6b911fb703f8c13206541e66d7ab8e00c4fc9e54,d7c53a1e2f9888722f6965daea1d109dd7499bbe,4189121058e3b59d8ddfc4c79279aebc92b42f21,79647d9e157aaa9b240d5224c04cb6ec4f9cbca1,415a1754a488cd03a9db02765e912c90e22bf614,597d9a37bc3a6f5538c862f92bfaaaa4adba1ef4,65c6cd9647aa05dc5248ffc0191ef6e57d73183a"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,ece67b13d983600315371879116a1d48d6509feb,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
a4ebc1ed0a32cac3eaae4b9f94713e1e9aaefff8,ff2de50b70bb7229b7e0f6acab23aa0658a72afe,"476c3eda1134d7a8ecff4237f55899c6dd66ab76,59f96b3b91810bbb8918db63ab8621e6786fa162,ff2de50b70bb7229b7e0f6acab23aa0658a72afe,c9e48daa5441afb527dfb725cb896e803feec5ed,65d04615c5294fb889fd6c51b5bd66a52b7cb1f5,661c66b81b4efcd17be1c23060b7e5e6ebc50374,f67518aed13a47f9174fa7458920af966858d9e9,8ca4835a3105f336b38bec0305443929a5e85192,bc3990b9900b8a3f55d6a7a06321debc22d24254,cf9c47ef2c0bb6c1575bfca2030a0d9f085a22ac"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,8b7bd175c6a7bf320036e5f994aa1787c127c312,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
5ba406318abb6138b0227d759563ad323897573b,68ec26bd7726a9c1f1d102c436e40d5e21bc1425,"4d84914dfee6a3bdba75feeea0344921a61d2173,26b70ab6fee20b185c63d594f8398582e032c789,554b663eff39bfed2653e17c30665c5bf0da5b87,68ec26bd7726a9c1f1d102c436e40d5e21bc1425,fee6a159cd0af01e20492a39a5fb3388ab441a02,9c0c1b4981ff59b8fae88d9fb74eb98fb462af50,55a9f92db774b15e8fbe0dcbbb3ccfcec3285727,789e9b93f70c4a1bdd22e51a250a9ad077d481a5,b900e4585495166a86f5c2bd84ce65b37642bff7,cc9cd765473a8b3cfe9cc461e54ae7ef22bfb3e5"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,07bcd196466394e7630978ee5824e8eb73ead98d,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
b66b2122bcdf2807a56533f66543fa9d1504598f,91248e6eaef799d394d4e909e031b1a5812cf3a5,"91248e6eaef799d394d4e909e031b1a5812cf3a5,08d97685c11e9bef44f55418f466b8a00526c113,d0e13495a2437144ea100c9659e2b79e37021cab,46cbf5b84226b5b4fcca5967415e73c13be9bc2a,bfc4e77e707e63a41ed3b40a6a04497ab9c70688,8aa4024ee2d1cedf8aa61b91b69a8cbae25658d3,46d833b4a8e82de7a9f5a518e9d85ef44208712d,f2b889fa0baad5b6874c6b31254d2f7add518d6d,4042e832d034e77f25502c7887f61c9229408fac,88cefacc69d9a79462f4117e4c5d773a8298527d"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,e3f193a699ce02f529a0f493cc65f7ef9023c9be,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,e3f193a699ce02f529a0f493cc65f7ef9023c9be,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
aa8b3f85ff1feb3112ce5a9c1a4e866212f65771,2408c697181900c2e82b776eac0f0d0016b6dbc5,"2408c697181900c2e82b776eac0f0d0016b6dbc5,186ed283fb0c66133ee66dd8c79f8ac8bb631a6a,8ded72a8a09421a1f46cf97ff959bbb9e663bc6e,1b12c10e17b5f434eb7fceb843251c037c64460b,874cd07dca568e568a6d6bd8b85354bff23e9d5d,601d362f92c76286b3bb22f7254b99499787f1b6,80a4ec83af42b920265dd758d79f4210d8ca0b4e,a062b243b2963a048bcebbde366d818797bb2223,94404e00368072d9d19a47328dd766a35e962810,3d43eee9d58d215157d817402e3f8a6821d9fcf7"
c8e3a7d0b9892cba883987f974a8d16a13755a96,ece4e9c13a5266e60fd722b2af282384872ff865,"f135db74374570a1fcbe44a553a0988aea399f4d,ece4e9c13a5266e60fd722b2af282384872ff865,4c3a19654266a9034d109c341f067644f0a63a0d,fd8d9dc6bdce7c557774334da3ef11c7a4cb557b,0ebcc5ff0382d8405badfea2d66e3599f64dca3b,38ebb37e31f363d6edf67010aaa72912b63aa650,b9bb5c001e6acbca31da72d8a5c6aeed1da1c1a3,e0720b36d1ae8a26a94eab1c153ac318df40b45b,3ca48c61528417421b422099739bb7e5a0296032,bdca34b16ccefe61901c167402b9ff73e0c6629e"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,942150aaf856d82458db56f3eab4d9fc12f6620a,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
94ee6575c4472695800b5dc2f0f448f677d57eb0,255f756fb21ed14ccc8cf991b8771a0c667da5db,"255f756fb21ed14ccc8cf991b8771a0c667da5db,f1b0f669a34934fe598906fe501b11277b9531bb,8f69870e99f17afaa71bd285f28a9255ce82cdc1,6c11e0aee108001e84a262152550c4e5fb20a172,8365e5ea2199d3b431272344c41d0561bdafca49,a18e3a6a003e8e3ca20c3d45f82d81a5f8676443,d82d997787429b020addca4d62aa7fb11d046af2,975fed13133895b2bf86658451040486448469bc,05171708e9fc0df0c47eaa8b847977bc5ef9f913,9290774860ab700cc4fb7026f93a552fdb4eb634"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
fd0b6a4548d7aac8e7cbc8d25c0d639b8a3e9b87,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,"942150aaf856d82458db56f3eab4d9fc12f6620a,8b7bd175c6a7bf320036e5f994aa1787c127c312,8c29c502731812dd56f28cb4eb102ec8f9ec38be,3ff203ecb8bf0fc7584d490cd2cfb13eee2a0265,e3f193a699ce02f529a0f493cc65f7ef9023c9be,e280917be35fca322ad7ff20453be677a33439c3,07bcd196466394e7630978ee5824e8eb73ead98d,ece67b13d983600315371879116a1d48d6509feb,d5f2abc8d5ee21c57a9aa5893cd0d24440d7a440,077b01d4eb327070311ce4eb15f6ea6ede0b22f1"
